"Group", "Age","Boron","Calcium","Chromium","Copper","Fluoride","Iodine","Iron","Magnesium","Manganese","Molybdenum","Nickel","Phosphorus","Potassium","Selenium","Silicon","Sulfate","Vanadium","Zinc","Sodium","Chloride"
"","0","ND","ND","ND","ND","0.7","ND","40","ND","ND","ND","ND","ND","ND","45","ND","ND","ND","4","ND","ND"
"","0.58","ND","ND","ND","ND","0.9","ND","40","ND","ND","ND","ND","ND","ND","60","ND","ND","ND","5","ND","ND"
"","1","3000","2.5","ND","1000","1.3","200","40","65","2","300","0.2","3.0","ND","90","ND","ND","ND","7","1.5","2.3"
"","4","6000","2.5","ND","3000","2.2","300","40","110","3","600","0.3","3.0","ND","150","ND","ND","ND","12","1.9","2.9"
"","9","11000","2.5","ND","5000","10","600","40","350","6","1100","0.6","4.0","ND","280","ND","ND","ND","23","2.2","3.4"
"","14","17000","2.5","ND","8000","10","900","45","350","9","1700","1.0","4.0","ND","400","ND","ND","ND","34","2.3","3.6"
"","19","20000","2.5","ND","10000","10","1100","45","350","11","2000","1.0","4.0","ND","400","ND","ND","1.8","40","2.3","3.6"
"","70","20000","2.5","ND","10000","10","1100","45","350","11","2000","1.0","3.0","ND","400","ND","ND","1.8","40","2.3","3.6"
"Pregnancy","14","17000","2.5","ND","8000","10","900","45","350","9","1700","1.0","3.5","ND","400","ND","ND","ND","34","2.3","3.6"
"Pregnancy","19","20000","2.5","ND","10000","10","1100","45","350","11","2000","1.0","3.5","ND","400","ND","ND","ND","40","2.3","3.6"
"Lactation","14","17000","2.5","ND","8000","10","900","45","350","9","1700","1.0","4.0","ND","400","ND","ND","ND","34","2.3","3.6"
"Lactation","19","20000","2.5","ND","10000","10","1100","45","350","11","2000","1.0","4.0","ND","400","ND","ND","ND","40","2.3","3.6"
"Unit","Years","MG","G","ND","UG","MG","UG","MG","MG","MG","UG", "MG", "G", "ND", "UG", "ND", "ND", "MG", "MG", "G", "G"
